"","AGEG","STATE","SEX","IMPRACE","METSD","Freq","YEAR"
"7723","18-24","16","Female","NH White","No",64729.9907369762,2013
"7724","25-34","16","Female","NH White","No",80413.8586539395,2013
"7725","35-44","16","Female","NH White","No",73116.2402484299,2013
"7726","45-54","16","Female","NH White","No",77014.531848726,2013
"7727","55-64","16","Female","NH White","No",70380.6309512799,2013
"7728",">65","16","Female","NH White","No",78598.9525924271,2013
"7729","18-24","17","Female","NH White","No",371053.059876299,2013
"7730","25-34","17","Female","NH White","No",444288.245882739,2013
"7731","35-44","17","Female","NH White","No",477405.941954545,2013
"7732","45-54","17","Female","NH White","No",552178.765994956,2013
"7733","55-64","17","Female","NH White","No",433208.882050783,2013
"7734",">65","17","Female","NH White","No",517710.282404045,2013
"7735","18-24","18","Female","NH White","No",252818.960854377,2013
"7736","25-34","18","Female","NH White","No",300917.14218019,2013
"7737","35-44","18","Female","NH White","No",299479.914208465,2013
"7738","45-54","18","Female","NH White","No",309113.871864824,2013
"7739","55-64","18","Female","NH White","No",266301.334744858,2013
"7740",">65","18","Female","NH White","No",305226.528901188,2013
"7741","18-24","19","Female","NH White","No",120744.167139072,2013
"7742","25-34","19","Female","NH White","No",143513.999468176,2013
"7743","35-44","19","Female","NH White","No",143840.637289371,2013
"7744","45-54","19","Female","NH White","No",165408.716602896,2013
"7745","55-64","19","Female","NH White","No",146151.511940167,2013
"7746",">65","19","Female","NH White","No",174283.869769306,2013
"7747","18-24","20","Female","NH White","No",100507.256324227,2013
"7748","25-34","20","Female","NH White","No",125320.597099793,2013
"7749","35-44","20","Female","NH White","No",121568.644145417,2013
"7750","45-54","20","Female","NH White","No",135674.803870525,2013
"7751","55-64","20","Female","NH White","No",122104.365961553,2013
"7752",">65","20","Female","NH White","No",148435.218792723,2013
"7753","18-24","21","Female","NH White","No",164770.103347327,2013
"7754","25-34","21","Female","NH White","No",227965.4945467,2013
"7755","35-44","21","Female","NH White","No",209221.818813846,2013
"7756","45-54","21","Female","NH White","No",226233.330403498,2013
"7757","55-64","21","Female","NH White","No",174705.197001348,2013
"7758",">65","21","Female","NH White","No",219817.744862396,2013
"7759","18-24","22","Female","NH White","No",125079.168872722,2013
"7760","25-34","22","Female","NH White","No",174268.681872919,2013
"7761","35-44","22","Female","NH White","No",138591.22434643,2013
"7762","45-54","22","Female","NH White","No",149402.593691976,2013
"7763","55-64","22","Female","NH White","No",136676.344077127,2013
"7764",">65","22","Female","NH White","No",167892.864805435,2013
"7765","18-24","23","Female","NH White","No",53264.987940986,2013
"7766","25-34","23","Female","NH White","No",66453.6511448151,2013
"7767","35-44","23","Female","NH White","No",69910.9869898419,2013
"7768","45-54","23","Female","NH White","No",86376.1862147412,2013
"7769","55-64","23","Female","NH White","No",79937.5788363823,2013
"7770",">65","23","Female","NH White","No",84787.3221195961,2013
"7771","18-24","24","Female","NH White","No",114370.193886902,2013
"7772","25-34","24","Female","NH White","No",173820.374498405,2013
"7773","35-44","24","Female","NH White","No",181505.883418767,2013
